Project,Group,Connections,Twitter,Image,Popup
ForeFront,#F3587D,15,forefront__,https://pbs.twimg.com/profile_images/1293402536427139072/N2kir6jx_normal.jpg,"<strong>Forefront</strong> | <a href=""https://twitter.com/forefront__"">@forefront__</a><p>The Pulse of Web3 Social ◎ $FF → https://t.co/k162YCDCUF </p><a href=""https://t.co/0XFYYjap60"">linktr.ee/ffdao</a>"
Foresight Institute DAO,#F3587D,14,foresightinst,https://pbs.twimg.com/profile_images/1516264107468414976/ce0QvEJu_normal.jpg,"<strong>Foresight Institute</strong> | <a href=""https://twitter.com/foresightinst"">@foresightinst</a><p>Advancing science and technology for long-term, flourishing futures by creating community, promoting beneficial uses, and reducing potential misuse and harm. </p><a href=""https://t.co/4qX0kkY4vZ"">foresight.org</a>"
Future Foundation,#F3587D,22,ourfuturefdn,https://pbs.twimg.com/profile_images/1454550351365869571/uYcZtxPj_normal.jpg,"<strong>Future Foundation</strong> | <a href=""https://twitter.com/OurFutureFdn"">@OurFutureFdn</a><p>Building towards a more just and joyful future. Join and help us build the future of web3 x social impact </p><a href=""https://t.co/z1Y0CgJf1N"">futurefoundation.xyz</a>"
Gain Forest,#02E2AC,5,gainforestnow,https://pbs.twimg.com/profile_images/1284054028234772480/4CFuaH4Z_normal.png,"<strong>GainForest™ 🛰(🌱)</strong> | <a href=""https://twitter.com/GainForestNow"">@GainForestNow</a><p>GainForest™ is a decentralised fund using artificial intelligence to measure and reward sustainable nature stewardship. https://t.co/2RuRVLeQ6q </p><a href=""https://t.co/s2BqX1SieD"">gainforest.net</a>"
Geo Web,#FFCC00,19,thegeoweb,https://pbs.twimg.com/profile_images/1370182208053460997/Cb3OyrL3_normal.jpg,"<strong>Geo Web</strong> | <a href=""https://twitter.com/thegeoweb"">@thegeoweb</a><p>Public good #AR layer of the #metaverse. Our #NFT digital land is administered w/ partial common ownership. Network funds are used to fund public good(s). </p><a href=""https://t.co/AR9M80p6k0"">linktr.ee/geoweb</a>"
Gitcoin,#FFCC00,43,gitcoindao,https://pbs.twimg.com/profile_images/1461730414146564100/BtBfgjFa_normal.jpg,"<strong>Gitcoin vibes 🌱</strong> | <a href=""https://twitter.com/GitcoinDAO"">@GitcoinDAO</a><p>Solarpunk Futurism~ GR14 6/8 - 6/23 </p><a href=""https://t.co/jI9ovY2xl7"">gitcoindao.com</a>"
Give Crypto,#F3587D,3,givecrypto,https://pbs.twimg.com/profile_images/1012076844659757057/h_V_oaoG_normal.jpg,"<strong>GiveCrypto.org</strong> | <a href=""https://twitter.com/givecrypto"">@givecrypto</a><p>Donate crypto to people in need. </p><a href=""https://t.co/UFvCo171wS"">GiveCrypto.org</a>"
Give Safely,#FFCC00,5,givesafely,https://pbs.twimg.com/profile_images/1456617919882858497/X05a_MDX_normal.png,"<strong>GiveSafely.io</strong> | <a href=""https://twitter.com/givesafely"">@givesafely</a><p>Give safely to a trusted charity. Protect your data. Get rewards. Join our discord to discuss charities +crypto + web3 + NFTs: https://t.co/BYovSZFF2z </p><a href=""https://t.co/XNqesclwqZ"">givesafely.io</a>"
Giveth,#FFCC00,48,givethio,https://pbs.twimg.com/profile_images/1440344140609294348/5dWIUeGd_normal.jpg,"<strong>Giveth</strong> | <a href=""https://twitter.com/Givethio"">@Givethio</a><p>Transforming the way we fund public goods | Zero Added Fees | Donor Rewards | Regenerative Economics | Decentralizing Charity | DAO<br><br>@karmaticacid tweets </p><a href=""https://t.co/iwHTBO5N5o"">giveth.io</a>"
Giving Block,#FFCC00,19,thegivingblock,https://pbs.twimg.com/profile_images/1519765300094418949/6yfhVEAZ_normal.png,"<strong>The Giving Block</strong> | <a href=""https://twitter.com/TheGivingBlock"">@TheGivingBlock</a><p>Want to change the world with crypto? With over 1500 nonprofits accepting crypto donations, we can help. #CaringWithCrypto #CryptoIsGood🚀♥️ </p><a href=""https://t.co/l7MFQ05AxI"">linktr.ee/TheGivingBlock</a>"
